synthetic_citizen_id,intent,required_information,action,result,demo_outcome
CIT-001,get_balance,synthetic citizen ID or masked UAN | optional member ID selector,"Aggregate posted credits, transfers, debits, and interest for each linked member account.","Return current balance with employee share, employer EPF share, interest, EPS service-only contribution, and ledger freshness.",synthetic_record_available
CIT-002,track_claim,claim ID or masked UAN | optional member ID,Read claim status history and current processing stage.,"Return current status, last updated timestamp, form type, amount requested/approved, rejection reason if any, and next safe step.",under_process_at_regional_office
CIT-003,check_pension_eligibility,masked UAN or citizen ID | date of birth | service history | EPS membership state,Calculate eligible EPS service months and compare with the configured pension threshold.,"Return eligible/not eligible/needs-verification, service months, age gate, and documents or profile corrections needed.",eligible_subject_to_service_and_age_verification
CIT-004,find_uan,name as recorded | date of birth | registered mobile last four digits | optional Aadhaar last four digits,Perform an exact synthetic match against member master data; never expose an unmasked identifier in logs.,"Return masked UAN, match confidence, linked member count, and verification instruction.",synthetic_record_available
CIT-005,get_kyc,masked UAN or citizen ID,Read KYC entries and their verification workflow states.,"Return Aadhaar, PAN, and bank status, pending approver, submitted date, and non-sensitive remediation guidance.",blocked_until_bank_kyc_approval
CIT-006,track_transfer,masked UAN | old and new member IDs if known,Compare source and destination member accounts and transfer certificate status.,"Return transfer state, transferred amount, Annexure-K reference state, and unresolved data mismatches.",completed_transfer_with_annexure_k_pending
CIT-007,check_eligibility,masked UAN | claim reason | requested amount | service history | KYC state,Run a configurable Form 31 pre-check without filing a real claim.,"Return eligible/not eligible/needs-verification, applicable balance ceiling, and missing prerequisites.",needs_document_and_reason_validation
CIT-008,get_nomination,masked UAN | authentication state,Read e-nomination status and nominee allocation without exposing full nominee identity.,"Return filed/not filed, last update, nominee count, percentage sum, and whether a re-file is required.",synthetic_record_available
CIT-009,check_eligibility,masked UAN | date of exit | exit reason | current employment signal | KYC state,Run a configurable Form 19 final-settlement pre-check.,"Return readiness, configured waiting-period check, final ledger posting check, and KYC blockers.",eligible_after_configured_unemployment_gate
CIT-010,get_pension_status,masked PPO or pensioner ID | date of birth | regional office,Read the synthetic pension payment enquiry record.,"Return pension status, last credited month, disbursing bank masked, and life-certificate flag.",synthetic_record_available
CIT-011,get_profile_correction_status,masked UAN | field to correct | supporting-document status,Read pending member-profile correction workflow.,"Return current value masked, requested value masked where appropriate, approval state, and required action.",synthetic_record_available
CIT-012,track_grievance,grievance registration number or masked UAN | category,Read EPFiGMS-style grievance status and reminders.,"Return registration number masked, routed office, status, age in days, reminder eligibility, and document count.",synthetic_record_available
CIT-013,get_service_history,masked UAN,"List employment spells, member IDs, dates of joining/exit, and EPS service months.",Return chronological service history and gaps requiring correction or transfer review.,synthetic_record_available
CIT-014,track_claim,claim ID or masked UAN,Read rejection code and map it to a remediation category.,"Return rejection reason, failed validation, whether re-filing is possible, and safe next step.",rejected_bank_account_mismatch
CIT-015,get_life_certificate_status,masked PPO or pensioner ID | certificate reference if known,Read digital life-certificate validity and source channel.,"Return valid/expired/not-found, valid-through date, and non-sensitive submission channel.",synthetic_record_available
CIT-016,list_member_accounts,masked UAN,"List every linked member account, employer, office, and transfer state.","Return linked member IDs masked and flag duplicates, overlapping employment, or untransferred balances.",synthetic_record_available
CIT-017,get_kyc,masked UAN | KYC type,Read rejection reason and validation metadata.,"Return rejected field, reason category, submitted date, and correction path.",rejected_name_mismatch
CIT-018,check_scheme_certificate,masked UAN | EPS service months | exit date,Check whether short-service pension withdrawal benefit or scheme-certificate path is available under configured rules.,"Return outcome, service months, and the next application path.",scheme_certificate_path_available
CIT-019,estimate_pension,masked UAN | pensionable salary average | eligible service | age,Calculate an illustrative estimate using the configured formula; do not present it as an official sanction.,"Return estimated monthly pension, formula inputs, assumptions, and official-verification warning.",synthetic_record_available
CIT-020,get_profile_change_status,masked UAN | old/new mobile last four digits | OTP verification state,Read the mobile-change request workflow.,Return pending/verified/rejected state without revealing full numbers.,synthetic_record_available
CIT-021,get_contribution_gaps,masked UAN | member ID | wage-month range,"Compare wage declarations, employee deductions, employer remittances, and ledger postings.","Return affected months, amounts, employer-default indicator, and grievance option.",one_month_remittance_gap_detected
CIT-022,get_claim_payment,claim ID or masked UAN | bank account last four digits,Read settlement and payment-reference fields.,"Return settled amount, settlement date, masked bank account, payment status, and reference suffix.",synthetic_record_available
CIT-023,check_death_claim_requirements,deceased member UAN/member ID | nominee relationship | death date | nominee KYC and bank details,Return a document checklist and route; do not make a final entitlement decision.,"Return required documents, nominee-validation state, and claim forms likely applicable.",checklist_only_no_entitlement_decision
CIT-024,find_establishment,establishment name fragment or 7-digit establishment code,Search the synthetic establishment registry.,"Return establishment name, code, sector, region, office, and active-status flag.",synthetic_record_available
